lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
12.6315789473684,2.30526315789474,Male,AV Replacement + CAB,0.04509,0.29551,0.00182,0.13771,0.01719,0.1615,0.09348,0.12558,0.20681
12.6315789473684,2.30526315789474,Female,AV Replacement + CAB,0.06221,0.34118,0.00213,0.18091,0.02037,0.2315,0.11313,0.11814,0.13221
12.6315789473684,2.42105263157895,Male,AV Replacement + CAB,0.04738,0.30801,0.00182,0.14352,0.01766,0.16757,0.10181,0.12874,0.19791
12.6315789473684,2.42105263157895,Female,AV Replacement + CAB,0.06531,0.35464,0.00213,0.18813,0.02092,0.23945,0.12297,0.12115,0.126
12.6315789473684,2.53684210526316,Male,AV Replacement + CAB,0.04977,0.32079,0.00182,0.14952,0.01814,0.17382,0.11077,0.13197,0.1893
12.6315789473684,2.53684210526316,Female,AV Replacement + CAB,0.06854,0.36833,0.00213,0.19557,0.02149,0.24758,0.13352,0.12421,0.12005
12.6315789473684,2.65263157894737,Male,AV Replacement + CAB,0.05228,0.33386,0.00182,0.15573,0.01863,0.18025,0.12043,0.13527,0.18098
12.6315789473684,2.65263157894737,Female,AV Replacement + CAB,0.07193,0.38224,0.00213,0.20324,0.02207,0.2559,0.14483,0.12735,0.11435
12.6315789473684,2.76842105263158,Male,AV Replacement + CAB,0.05491,0.34719,0.00182,0.16215,0.01914,0.18687,0.1308,0.13864,0.17294
12.6315789473684,2.76842105263158,Female,AV Replacement + CAB,0.07547,0.39635,0.00213,0.21113,0.02267,0.2644,0.15694,0.13055,0.10887
12.6315789473684,2.88421052631579,Male,AV Replacement + CAB,0.05767,0.36076,0.00182,0.16878,0.01965,0.19368,0.14193,0.14208,0.16519
12.6315789473684,2.88421052631579,Female,AV Replacement + CAB,0.07917,0.41064,0.00213,0.21924,0.02328,0.27308,0.16985,0.13382,0.10363
12.6315789473684,3,Male,AV Replacement + CAB,0.06055,0.37456,0.00182,0.17562,0.02019,0.20067,0.15383,0.14559,0.15772
12.6315789473684,3,Female,AV Replacement + CAB,0.08304,0.42507,0.00213,0.22757,0.02391,0.28194,0.18359,0.13716,0.09862
15.2631578947368,0.8,Male,AV Replacement + CAB,0.0229,0.15866,0.00182,0.07693,0.01212,0.09529,0.02891,0.08869,0.35688
15.2631578947368,0.8,Female,AV Replacement + CAB,0.03188,0.18884,0.00213,0.10334,0.01438,0.14144,0.03551,0.08323,0.24484
15.2631578947368,0.915789473684211,Male,AV Replacement + CAB,0.02409,0.16674,0.00182,0.08041,0.01246,0.09917,0.03168,0.09102,0.34431
15.2631578947368,0.915789473684211,Female,AV Replacement + CAB,0.03352,0.1981,0.00213,0.10787,0.01477,0.14689,0.0389,0.08543,0.23478
15.2631578947368,1.03157894736842,Male,AV Replacement + CAB,0.02534,0.17515,0.00182,0.08403,0.0128,0.10319,0.03471,0.09341,0.33196
15.2631578947368,1.03157894736842,Female,AV Replacement + CAB,0.03524,0.2077,0.00213,0.11258,0.01517,0.15251,0.04259,0.08769,0.22502
15.2631578947368,1.14736842105263,Male,AV Replacement + CAB,0.02666,0.18389,0.00182,0.0878,0.01314,0.10735,0.03802,0.09585,0.31984
15.2631578947368,1.14736842105263,Female,AV Replacement + CAB,0.03705,0.21764,0.00213,0.11747,0.01559,0.15831,0.04661,0.09,0.21554
15.2631578947368,1.26315789473684,Male,AV Replacement + CAB,0.02804,0.19297,0.00182,0.09172,0.0135,0.11165,0.04163,0.09835,0.30796
15.2631578947368,1.26315789473684,Female,AV Replacement + CAB,0.03895,0.22792,0.00213,0.12254,0.01601,0.16428,0.051,0.09236,0.20635
